,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,8044d915-fea5-477b-8723-62a2b18d45f2,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,All okay,5,0,9.41.2,2024-11-19 06:59:02,,,9.41.2
1,6721bb8a-f159-4797-9af6-08ee8d91cbbd,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Awesome app,5,0,9.42.1,2024-11-19 02:10:06,,,9.42.1
2,f699fcaa-0765-4301-9774-c34a3fd5f70e,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,great,5,0,9.42.1,2024-11-18 23:00:06,,,9.42.1
3,4387a7ed-e3d3-40da-9fd0-f74298bde24c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"The app has worked well before, but right now, November 2024, something's gone wrong. The circle just keep going round, it doesn't load any new info, such as new courses etc. courses already bought can still be accessed. I have tried refreshing the app by accessing it from playstore but still same problem.",3,0,,2024-11-18 22:56:35,"Hi there,

Thanks for reaching out.

Please visit our Help Center (https://support.udemy.com), which has extensive resources to help resolve issues. You can also submit a request to our support team via the Help Center and provide them with more information.

Thank you.",2024-11-18 23:14:27,
4,d02711d6-cd30-4153-9728-f3c2590a854b,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,interesting app easy to learn,5,0,9.42.0,2024-11-18 19:16:20,,,9.42.0
5,05d98fba-b511-4191-8850-90877893cf92,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Your latest update doesn't allow to see my lists, just add new ones; and closes automatically after a few minutes using it just 2 or 3 minutes",1,0,9.42.1,2024-11-18 18:02:42,,,9.42.1
6,d3ed8031-095e-446b-9cd1-63cba98f278a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Udemy is my career changer. I learn a lot from here. Always want to thank you for making such incredible platform for learning and one thing the instructors on Udemy are very nice they teach very well in very interactive way.❤️for Udemy. I just want one thing if Udemy developer could, a download button for laptop, so if someone travelling in remote area and want to continue their learning in this they could.",5,0,9.42.1,2024-11-18 09:22:21,,,9.42.1
7,a55f632d-3d54-4d93-941f-1e5cc1dd3e14,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Very good,5,0,9.42.1,2024-11-18 07:06:21,,,9.42.1
8,55253950-bcf5-45bf-8c68-376cdd0e5193,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Can't login and can't reset password :(,1,0,,2024-11-18 05:31:22,"Hi. Thanks for reaching out. Please visit our Help Center (https://support.udemy.com), which has extensive resources to help resolve issues. You can also submit a request to our support team via the Help Center and provide them with more information. Thank you.",2024-11-18 12:05:12,
9,7c0ca380-4222-4f4b-8306-b9a64775b448,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Someone please assist me with my Lean 6 sigma lessons. Some of the video lessons will not show and no sound at all. It's really frustrating. I have restarted my laptop, run other videos with no issues.",1,0,9.42.1,2024-11-18 04:42:25,"Hi Paul, my apologies for the issue you're encountering on our Android app. Kindly contact us directly via this link: https://support.udemy.com/hc/en-us. Many thanks!",2024-11-18 05:29:22,9.42.1
